brand,type,miles,years,location,nowprice,preprice,kind
奔驰A级,2020款,4万公里,Jul-20,无锡,18.88,28.74万,轿车
奔驰C级(进口),2015款,8万公里,Jul-16,成都,20.58,45.48万,轿车
奔驰C级(进口),2020款,3.15万公里,Nov-19,东莞,26.8,42.42万,轿车
奔驰C级(进口),2020款,3.66万公里,Jul-20,重庆,26.88,42.42万,轿车
奔驰A级,2020款,2.2万公里,Apr-20,东莞,16.68,24.94万,轿车
奔驰C级(进口),2020款,5万公里,Apr-20,南通,25.88,42.42万,轿车
奔驰A级,2020款,9.2万公里,Dec-19,合肥,15.98,28.74万,轿车
奔驰C级(进口),2019款,3.2万公里,Sep-19,成都,27.18,42.42万,轿车
奔驰A级,2019款,4.6万公里,Feb-19,嘉兴,15.58,24.94万,轿车
奔驰A级,2019款,5.3万公里,Feb-19,福州,17.6,28.74万,轿车
奔驰E级新能源,2021款,0.8万公里,Jul-21,大连,40.98,56.65万,轿车
奔驰C级(进口),2017款,2.7万公里,Jun-17,沈阳,23.5,45.48万,轿车
宝马M3,2021款,0.6万公里,Nov-21,昆明,88.8,92.25万,轿车
奔驰A级,2019款,6万公里,Apr-19,北京,16.5,28.74万,轿车
奔驰A级,2020款,3万公里,Aug-20,苏州,17.98,28.74万,轿车
奔驰A级,2022款,2.34万公里,Nov-21,惠州,17.38,25.49万,轿车
奔驰A级,2020款,4.4万公里,May-20,南京,18.68,28.74万,轿车
奔驰E级新能源,2021款,0.97万公里,Jul-21,嘉兴,42.68,56.65万,轿车
奔驰A级,2019款,3.4万公里,May-19,嘉兴,17.68,28.74万,轿车
奔驰A级,2021款,1.5万公里,Feb-21,青岛,19.88,27.12万,轿车
奔驰A级,2021款,2万公里,Mar-21,泉州,19.68,28.74万,轿车
奔驰C级(进口),2020款,3.5万公里,Jun-20,贵阳,27.18,42.42万,轿车
奔驰E级新能源,2022款,0.7万公里,Apr-22,杭州,42.98,56.26万,轿车
奔驰E级新能源,2021款,1.4万公里,Sep-21,临沂,42.6,56.65万,轿车
奔驰A级,2019款,3万公里,May-19,无锡,16.8,28.74万,轿车
奔驰A级,2021款,1.6万公里,Mar-21,苏州,18.88,27.12万,轿车
奔驰A级,2019款,4.6万公里,Apr-19,东莞,17.68,28.74万,轿车
奔驰A级,2020款,3.23万公里,Sep-20,宁波,15.88,25.27万,轿车
奔驰A级,2022款,0.09万公里,Jun-22,台州,21.8,27.33万,轿车
奔驰A级,2020款,4万公里,Jan-20,烟台,18.3,28.74万,轿车
奔驰A级,2019款,3.75万公里,Jan-19,宜昌,18.68,31.89万,轿车
奔驰A级,2019款,4万公里,Jun-19,成都,15.98,28.74万,轿车
奔驰A级,2021款,2万公里,Jan-21,丽水,20.98,28.74万,轿车
奔驰A级,2020款,4.6万公里,Mar-20,嘉兴,15.28,24.94万,轿车
奔驰A级,2022款,0.66万公里,Mar-22,西安,19.98,25.49万,轿车
奔驰E级新能源,2021款,3.56万公里,Jul-21,杭州,37.98,56.65万,轿车
奔驰A级,2020款,5万公里,Dec-20,苏州,18.62,28.74万,轿车
奔驰A级,2020款,0.8万公里,Sep-20,合肥,19.2,28.74万,轿车
奔驰E级新能源,2021款,1万公里,Jul-21,杭州,39.8,56.65万,轿车
奔驰A级,2019款,4.5万公里,Jun-19,贵阳,15.88,24.94万,轿车
奔驰A级,2021款,0.46万公里,Feb-21,保定,17.99,25.27万,轿车
奔驰A级,2019款,4.6万公里,May-19,宁波,16.88,28.74万,轿车
奔驰A级,2019款,4.38万公里,May-19,武汉,15.8,24.94万,轿车
奔驰E级新能源,2022款,0.4万公里,Jan-22,青岛,43.98,56.65万,轿车
奔驰A级,2022款,1.29万公里,Jan-22,杭州,21.28,27.33万,轿车
奔驰A级,2020款,3万公里,Jan-21,泉州,17.5,25.27万,轿车
奔驰A级,2021款,1.73万公里,Nov-21,杭州,16.48,25.27万,轿车
奔驰E级新能源,2022款,0.1万公里,Jun-22,西安,45.5,56.18万,轿车
奔驰C级(进口),2015款,3.7万公里,May-17,唐山,23.3,45.48万,轿车
奔驰E级新能源,2021款,1.1万公里,Jul-21,郑州,40.8,56.65万,轿车
奔驰E级新能源,2021款,0.9万公里,Jul-21,东莞,41.98,56.65万,轿车
奔驰A级,2021款,3.6万公里,Nov-20,哈尔滨,17.8,28.74万,轿车
奔驰A级,2020款,2万公里,Jun-20,苏州,17.95,28.74万,轿车
奔驰A级,2021款,1.1万公里,Jan-22,长沙,21.18,27.12万,轿车
奔驰A级,2020款,2万公里,May-21,宁波,19.58,27.12万,轿车
奔驰A级,2020款,3.9万公里,Dec-20,成都,16.68,25.27万,轿车
奔驰A级,2019款,7万公里,Jun-19,石家庄,15.87,28.74万,轿车
奔驰A级,2021款,1.5万公里,Apr-21,襄阳,19.58,28.74万,轿车
奔驰A级,2021款,3万公里,Jul-21,成都,16.8,25.27万,轿车
奔驰A级,2021款,0.31万公里,Jan-22,咸阳,19.98,28.74万,轿车
奔驰E级新能源,2022款,0.9万公里,Jun-21,沈阳,40.8,56.26万,轿车
奔驰A级,2020款,2.59万公里,Oct-20,济宁,21.39,32.54万,轿车
奔驰A级,2020款,3万公里,Oct-20,宁波,16.98,28.74万,轿车
奔驰A级,2019款,5万公里,Oct-19,佛山,16.8,28.74万,轿车
奔驰A级,2020款,2.68万公里,Nov-20,沈阳,17.58,25.27万,轿车
奔驰A级,2020款,5.5万公里,Jul-20,南昌,17.7,28.74万,轿车
奔驰A级,2019款,8万公里,Feb-19,昆明,17.68,28.74万,轿车
奔驰A级,2020款,6.7万公里,Apr-20,绵阳,17.98,28.74万,轿车
奔驰A级,2020款,7万公里,Oct-19,长沙,16,24.94万,轿车
奔驰C级(进口),2015款,8.58万公里,Aug-17,上海,19.98,45.48万,轿车
奔驰A级,2020款,2.7万公里,Mar-20,长沙,19.58,28.74万,轿车
奔驰A级,2020款,1.4万公里,May-21,唐山,20.5,27.12万,轿车
奔驰A级,2020款,1.8万公里,Jun-21,贵阳,19.88,27.12万,轿车
奔驰C级(进口),2015款,7.4万公里,Feb-16,南宁,20.88,45.48万,轿车
奔驰A级,2020款,1.6万公里,Mar-21,唐山,20.8,27.12万,轿车
奔驰C级(进口),2015款,7万公里,Oct-16,唐山,23.98,45.48万,轿车
宝马M3,2014款,9.6万公里,Mar-15,昆明,40.3,108.33万,轿车
奔驰C级(进口),2020款,1.3万公里,Jun-21,石家庄,28.88,42.64万,轿车
宝马M3,2021款,0.8万公里,Jan-22,深圳,102.8,97.68万,轿车
奔驰E级新能源,2021款,0.24万公里,Apr-22,杭州,42.9,56.65万,轿车
奔驰A级,2020款,1.4万公里,Mar-21,杭州,17.4,25.27万,轿车
奔驰C级(进口),2019款,2万公里,Mar-20,深圳,26.98,42.42万,轿车
奔驰A级,2022款,0.2万公里,Aug-22,徐州,20.98,27.61万,轿车
奔驰A级,2019款,6万公里,Mar-19,潍坊,15.58,24.94万,轿车
奔驰C级(进口),2017款,8.8万公里,Oct-17,南京,21.98,45.48万,轿车
奔驰A级,2021款,1.1万公里,Jul-21,哈尔滨,18.2,28.74万,轿车
奔驰C级(进口),2016款,8万公里,May-17,济南,19.6,41.57万,轿车
奔驰A级,2020款,5.1万公里,May-20,西安,16.75,24.94万,轿车
奔驰A级,2019款,3万公里,May-19,宁波,14.28,24.94万,轿车
奔驰A级,2020款,2万公里,Aug-20,宜昌,16.8,28.74万,轿车
奔驰A级,2021款,1.9万公里,Jun-21,南京,19.98,28.74万,轿车
奔驰A级,2022款,0.03万公里,Nov-22,成都,20.8,27.55万,轿车
奔驰A级,2019款,3.5万公里,Nov-19,达州,16.18,24.94万,轿车
宝马M3,2014款,7万公里,Jul-15,深圳,45,108.33万,轿车
奔驰A级,2021款,0.88万公里,Jun-21,成都,20.48,28.74万,轿车
奔驰A级,2020款,2.1万公里,May-20,张家口,17.9,24.94万,轿车
奔驰C级(进口),2015款,6万公里,May-16,大连,22.98,45.48万,轿车
奔驰A级,2021款,0.9万公里,Oct-20,潍坊,19.6,28.74万,轿车
奔驰A级,2019款,5.53万公里,May-19,西安,15.19,24.94万,轿车
威尔法,2020款,4.5万公里,Jan-20,深圳,82.98,94.44万,MUV
奥德赛,2019款,3.4万公里,Dec-19,东莞,23.68,32.00万,MUV
别克GL8,2023款,0.05万公里,Nov-22,临沂,34.5,37.33万,MUV
别克GL8,2018款,10万公里,Jul-19,合肥,26.18,43.41万,MUV
埃尔法,2021款,1.6万公里,May-21,广州,,已降1.1万,MUV
别克GL8,2021款,2.89万公里,Jul-21,宁波,29.98,36.90万,MUV
奔驰V级,2018款,1.7万公里,Dec-19,北京,46.98,65.65万,MUV
迈特威,2008款,18.28万公里,Aug-09,北京,13.98,61.20万,MUV
别克GL8,2020款,7.4万公里,Mar-21,北京,21.68,28.10万,MUV
埃尔法,2020款,5万公里,Sep-20,深圳,96.8,88.90万,MUV
埃尔法,2015款,11万公里,Jun-17,深圳,79.8,88.36万,MUV
埃尔法,2021款,1万公里,Jul-22,深圳,109.8,96.61万,MUV
雷克萨斯LM,2020款,0.6万公里,Jan-22,深圳,186.8,159.13万,MUV
埃尔法,2018款,8万公里,Sep-18,深圳,89.8,89.33万,MUV
埃尔法,2015款,11万公里,Jun-17,深圳,82.8,88.36万,MUV
埃尔法,2021款,1万公里,Aug-21,深圳,116.8,96.61万,MUV
雷克萨斯LM,2020款,4万公里,Jan-21,深圳,159.8,159.13万,MUV
埃尔法,2015款,7万公里,Mar-17,深圳,75.8,82.39万,MUV
奥德赛,2015款,9.2万公里,Aug-15,北京,15.38,28.96万,MUV
艾力绅,2019款,3万公里,Mar-21,衢州,19.98,33.63万,MUV
别克GL8,2011款,13万公里,Oct-12,衢州,6.58,39.95万,MUV
威霆,2018款,6万公里,Jul-19,衢州,22.58,37.10万,MUV
别克GL8,2021款,2.7万公里,Oct-21,杭州,31.8,34.07万,MUV
埃尔法,2018款,4.3万公里,Jan-19,郑州,95.8,83.80万,MUV
别克GL8,2021款,3.5万公里,Nov-20,郑州,20.98,28.10万,MUV
别克GL8,2017款,4.2万公里,Jun-18,北京,27.88,43.41万,MUV
埃尔法,2020款,1.3万公里,Feb-21,杭州,108,94.44万,MUV
菱智,2020款,1.5万公里,Apr-21,上海,5.98,9.43万,MUV
宝骏730,2016款,4万公里,Feb-17,上海,3.58,7.58万,MUV
菱智,2020款,6.9万公里,Mar-20,上海,4.18,7.91万,MUV
埃尔法,2015款,12万公里,Apr-17,杭州,68.8,82.39万,MUV
别克GL8,2020款,2万公里,Aug-20,杭州,36.8,50.57万,MUV
SIENNA,2015款,7.8万公里,Jul-18,武汉,28.98,52.10万,MUV
普瑞维亚,2012款,15万公里,Aug-11,青岛,18.8,66.21万,MUV
别克GL8,2014款,11.1万公里,Apr-16,武汉,6.98,22.69万,MUV
长安欧尚A600,2016款,4万公里,May-17,上海,2.88,7.04万,MUV
威霆,2021款,0.01万公里,Sep-22,合肥,48.8,37.75万,MUV
奔驰V级,2020款,1.54万公里,Jul-21,合肥,52.6,68.36万,MUV
别克GL8,2022款,0.08万公里,Sep-21,上海,,已降1200元,MUV
别克GL6,2018款,7万公里,Jul-18,上海,6.75,16.92万,MUV
奥德赛,2022款,0.17万公里,Sep-22,合肥,30.9,35.69万,MUV
传祺M8,2021款,2.53万公里,Jun-21,合肥,21.8,27.44万,MUV
威尔法,2021款,0.98万公里,Sep-21,合肥,96.8,96.61万,MUV
奔驰V级,2018款,3.19万公里,Jan-20,合肥,49.8,65.65万,MUV
威霆,2020款,5万公里,Sep-20,苏州,28.9,31.46万,MUV
艾力绅,2022款,2.74万公里,Mar-22,合肥,28.3,33.95万,MUV
别克GL8,2022款,1.18万公里,Sep-21,合肥,42.3,51.01万,MUV
别克GL8,2021款,3.6万公里,May-21,无锡,22.9,30.38万,MUV
奥德赛,2019款,2万公里,Jun-20,西安,24.58,32.00万,MUV
埃尔法,2018款,8.4万公里,Jan-19,长沙,,已降1万,MUV
传祺M8,2021款,4.8万公里,Jan-21,西安,17.08,20.93万,MUV
埃尔法,2018款,7.1万公里,Nov-18,成都,,已降4800元,MUV
别克GL8,2018款,3.5万公里,Nov-20,成都,,已降5000元,MUV
别克GL8,2021款,3.7万公里,Aug-21,合肥,31.68,34.07万,MUV
SIENNA,2015款,0.8万公里,Mar-22,重庆,40,52.10万,MUV
奥德赛,2022款,2万公里,Feb-22,合肥,28.3,32.54万,MUV
别克GL8,2022款,0.7万公里,2021-09,合肥,41.98,51.01万,MUV
艾力绅,2016款,5.9万公里,2019-06,合肥,21.28,28.63万,MUV
别克GL8,2017款,7万公里,2018-01,无锡,23.80,40.15万,MUV
普瑞维亚,2019款,11万公里,2019-07,合肥,29.80,,MUV
别克GL8,2022款,0.53万公里,2021-10,西安,43.98,51.01万,MUV
奔驰V级,2018款,3万公里,2020-07,上海,,已降2万,MUV
埃尔法,2020款,4.4万公里,2021-01,上海,99.80,94.44万,MUV
